File,Folder,Fs,NumChannels,Channel,Dur_ms,tL_ms,tR_ms,fAM_Hz,fAM_kHz,PeakProminence,EnvLP_Hz,Presence_RMS,Fmax_kHz,AM_Method,Tau_xcorr_ms,Tau_cep_ms,Tau_ripple_ms,Tau_cons_ms,OverlapFlag,nCorrPeaks,DurInfl_ms,fRipple_Hz,fRipple_kHz,DurCorr_ms
Call_07.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,2,4.1875,9.109375,13.296875,1171.875,1.171875,0.306519719674823,5000,0.00217224736718185,52,welch,0.255208333333333,0.302083333333333,1.93939393939394,0.302083333333333,1,10,0.302083333333333,3310.34482758621,3.31034482758621,3.88541666666667
Call_07.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,3,4.390625,11.5208333333333,15.9114583333333,890.625,0.890625,0.409219305885567,5000,0.00173388040858618,54,welch,0.208333333333333,0.208333333333333,1.93939393939394,0.208333333333333,1,5,0.208333333333333,4800,4.8,4.18229166666667
Call_07.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,4,4.55729166666667,10.75,15.3072916666667,1875,1.875,0.0239014084073025,5000,0.0016085344738948,54,welch,0.229166666666667,0.208333333333333,1.93939393939394,0.229166666666667,1,2,0.229166666666667,4363.63636363636,4.36363636363636,4.328125
Call_10.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,1,4.265625,11.171875,15.4375,1968.75,1.96875,0.300014674629069,5000,0.00132028822835953,56,welch,0.395833333333333,0.375,0.414239482200647,0.395833333333333,1,8,0.395833333333333,2526.31578947368,2.52631578947368,3.86979166666667
Call_10.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,2,3.65104166666667,7.67708333333333,11.328125,2062.5,2.0625,0.228506175827903,5000,0.00213482895780151,54,welch,0.411458333333333,0.458333333333333,1.93939393939394,0.458333333333333,1,8,0.458333333333333,2181.81818181818,2.18181818181818,3.19270833333333
Call_10.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,3,3.60416666666667,10.3541666666667,13.9583333333333,1500,1.5,0.298002335284786,5000,0.00141335464309768,54,welch,0.302083333333333,0.322916666666667,1.93939393939394,0.322916666666667,1,7,0.322916666666667,3096.77419354839,3.09677419354839,3.28125
Call_10.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,4,3.89583333333333,9.00520833333333,12.9010416666667,1546.875,1.546875,0.25773030220101,5000,0.0019085190241772,54,welch,0.307291666666667,0.328125,1.93939393939394,0.328125,1,5,0.328125,3047.61904761905,3.04761904761905,3.56770833333333
Call_11.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,1,3.70833333333333,10.8489583333333,14.5572916666667,2484.375,2.484375,0.239868313167591,5000,0.00110703380670557,55,welch,0.442708333333333,0.229166666666667,0.463768115942029,0.442708333333333,1,7,0.442708333333333,2258.82352941176,2.25882352941176,3.265625
Call_11.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,2,3.21354166666667,7.27604166666667,10.4895833333333,2578.125,2.578125,0.204656359373022,5000,0.00174801281681709,51,welch,0.463541666666667,0.21875,1.93939393939394,NaN,0,12,NaN,NaN,NaN,3.21354166666667
Call_11.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,3,3.74479166666666,9.77604166666667,13.5208333333333,1875,1.875,0.326136113138845,5000,0.000905777621750833,52,welch,0.333333333333333,0.380208333333333,1.93939393939394,0.380208333333333,1,8,0.380208333333333,2630.13698630137,2.63013698630137,3.36458333333333
